"price.close","ref.date"
102.959999,2009-08-24
103.160004,2009-08-25
103.169998,2009-08-26
103.400002,2009-08-27
103.379997,2009-08-28
102.459999,2009-08-31
100.199997,2009-09-01
99.82,2009-09-02
100.650002,2009-09-03
102.059998,2009-09-04
102.940002,2009-09-08
103.730003,2009-09-09
104.790001,2009-09-10
104.769997,2009-09-11
105.279999,2009-09-14
105.720001,2009-09-15
107.32,2009-09-16
107.160004,2009-09-17
106.720001,2009-09-18
106.449997,2009-09-21
107.07,2009-09-22
106.18,2009-09-23
105.010002,2009-09-24
104.449997,2009-09-25
106.32,2009-09-28
106,2009-09-29
105.589996,2009-09-30
102.970001,2009-10-01
102.489998,2009-10-02
104.019997,2009-10-05
105.510002,2009-10-06
105.800003,2009-10-07
106.610001,2009-10-08
107.260002,2009-10-09
107.68,2009-10-12
107.459999,2009-10-13
109.309998,2009-10-14
109.709999,2009-10-15
108.889999,2009-10-16
109.790001,2009-10-19
109.209999,2009-10-20
108.230003,2009-10-21
109.330002,2009-10-22
108.080002,2009-10-23
106.910004,2009-10-26
106.419998,2009-10-27
104.410004,2009-10-28
106.650002,2009-10-29
103.559998,2009-10-30
104.32,2009-11-02
104.650002,2009-11-03
104.919998,2009-11-04
106.849998,2009-11-05
107.129997,2009-11-06
109.57,2009-11-09
109.589996,2009-11-10
110.150002,2009-11-11
109.029999,2009-11-12
109.620003,2009-11-13
111.209999,2009-11-16
111.339996,2009-11-17
111.269997,2009-11-18
109.82,2009-11-19
109.43,2009-11-20
110.82,2009-11-23
110.989998,2009-11-24
111.379997,2009-11-25
109.57,2009-11-27
109.940002,2009-11-30
111.300003,2009-12-01
111.25,2009-12-02
110.379997,2009-12-03
111.010002,2009-12-04
110.839996,2009-12-07
109.610001,2009-12-08
110.019997,2009-12-09
110.639999,2009-12-10
111.110001,2009-12-11
111.870003,2009-12-14
111.349998,2009-12-15
111.519997,2009-12-16
110.18,2009-12-17
110.209999,2009-12-18
111.330002,2009-12-21
111.730003,2009-12-22
111.949997,2009-12-23
112.480003,2009-12-24
112.720001,2009-12-28
112.559998,2009-12-29
112.519997,2009-12-30
111.440002,2009-12-31
113.330002,2010-01-04
113.629997,2010-01-05
113.709999,2010-01-06
114.190002,2010-01-07
114.57,2010-01-08
114.730003,2010-01-11
113.660004,2010-01-12
114.620003,2010-01-13
114.93,2010-01-14
113.639999,2010-01-15
115.059998,2010-01-19
113.889999,2010-01-20
111.699997,2010-01-21
109.209999,2010-01-22
109.769997,2010-01-25
109.309998,2010-01-26
109.830002,2010-01-27
108.57,2010-01-28
107.389999,2010-01-29
109.059998,2010-02-01
110.379997,2010-02-02
109.830002,2010-02-03
106.440002,2010-02-04
106.660004,2010-02-05
105.889999,2010-02-08
107.220001,2010-02-09
107.010002,2010-02-10
108.129997,2010-02-11
108.040001,2010-02-12
109.739998,2010-02-16
110.260002,2010-02-17
110.910004,2010-02-18
111.139999,2010-02-19
111.160004,2010-02-22
109.809998,2010-02-23
110.82,2010-02-24
110.669998,2010-02-25
110.739998,2010-02-26
111.889999,2010-03-01
112.199997,2010-03-02
112.300003,2010-03-03
112.639999,2010-03-04
114.25,2010-03-05
114.269997,2010-03-08
114.459999,2010-03-09
114.970001,2010-03-10
115.449997,2010-03-11
115.459999,2010-03-12
115.489998,2010-03-15
116.410004,2010-03-16
117.099998,2010-03-17
117.040001,2010-03-18
115.970001,2010-03-19
116.589996,2010-03-22
117.410004,2010-03-23
116.839996,2010-03-24
116.650002,2010-03-25
116.580002,2010-03-26
117.32,2010-03-29
117.400002,2010-03-30
117,2010-03-31
117.800003,2010-04-01
118.760002,2010-04-05
119.040001,2010-04-06
118.360001,2010-04-07
118.769997,2010-04-08
119.550003,2010-04-09
